Year,Population,GeothermalHeat (MWh),AmbientAirHeat (MWh),TotalGeothermal&GroundEnergy (MWh),TotalBiomass (MWh),TotalRes(excl.Stat.Transfer) (MWh),TotalRes(incl.Stat.Transfer) (MWh),Totaal windenergie (MWh),TotalSolarEnergy (MWh),Total Including Non-Renewable (MWh),Hydropower (MWh),OnshoreWindEnergy (MWh),OffshoreWindEnergy (MWh),SolarPower (MWh),SolarThermalEnergy (MWh),AvgElectricitySupplyResedential (MWh)_Drenthe (PV),AvgElectricitySupplyResedential (MWh)_Flevoland (PV),AvgElectricitySupplyResedential (MWh)_Fryslân (PV),AvgElectricitySupplyResedential (MWh)_Gelderland (PV),AvgElectricitySupplyResedential (MWh)_Groningen (PV),AvgElectricitySupplyResedential (MWh)_Limburg (PV),AvgElectricitySupplyResedential (MWh)_Noord-Brabant (PV),AvgElectricitySupplyResedential (MWh)_Noord-Holland (PV),AvgElectricitySupplyResedential (MWh)_Overijssel (PV),AvgElectricitySupplyResedential (MWh)_The Netherlands,AvgElectricitySupplyResedential (MWh)_Utrecht (PV),AvgElectricitySupplyResedential (MWh)_Zeeland (PV),AvgElectricitySupplyResedential (MWh)_Zuid-Holland (PV),AvgGasConsumptionResedetial_Drenthe (PV),AvgGasConsumptionResedetial_Flevoland (PV),AvgGasConsumptionResedetial_Fryslân (PV),AvgGasConsumptionResedetial_Gelderland (PV),AvgGasConsumptionResedetial_Groningen (PV),AvgGasConsumptionResedetial_Limburg (PV),AvgGasConsumptionResedetial_Noord-Brabant (PV),AvgGasConsumptionResedetial_Noord-Holland (PV),AvgGasConsumptionResedetial_Overijssel (PV),AvgGasConsumptionResedetial_The Netherlands,AvgGasConsumptionResedetial_Utrecht (PV),AvgGasConsumptionResedetial_Zeeland (PV),AvgGasConsumptionResedetial_Zuid-Holland (PV),loadConsumption
2015,"16,90",1009452.5199999999,560837.82,1689457.9599999997,21863230.459999997,32553593.759999998,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,98611.9,5881713.72,1035286.0599999999,1108619.98,315835.86,2.8699999999999997,3.0233333333333334,2.5500000000000003,2.953333333333333,2.65,2.99,3.0733333333333337,2.706666666666667,2.9499999999999997,2.86,2.8866666666666667,2.646666666666667,2.77,1443.3333333333333,676.6666666666666,1333.3333333333333,1300.0,1423.3333333333333,1343.3333333333333,1220.0,1130.0,1283.3333333333333,1190.0,1070.0,1216.6666666666667,1076.6666666666667,108952819.0
2016,"16,98",1070841.9,731950.2999999999,1860848.2199999997,20963778.819999997,33938327.059999995,33938327.059999995,8363955.799999999,1920293.14,580918258.42,97500.77999999998,6041159.4399999995,2322796.36,1601957.2599999998,318613.66,2.8033333333333332,2.9033333333333338,2.4633333333333334,2.846666666666667,2.5866666666666664,2.9299999999999997,3.01,2.643333333333333,2.876666666666667,2.793333333333333,2.8433333333333337,2.58,2.7266666666666666,1516.6666666666667,746.6666666666666,1393.3333333333333,1340.0,1490.0,1396.6666666666667,1253.3333333333333,1170.0,1313.3333333333333,1233.3333333333333,1120.0,1236.6666666666667,1106.6666666666667,114530586.0
2017,"17,08",1133620.18,980285.6199999999,1979738.0599999998,22786015.619999997,38004470.699999996,38004470.699999996,9641743.799999999,2522242.4,584628288.0999999,94167.41999999998,6266716.8,3375026.9999999995,2204462.0799999996,317780.31999999995,2.7433333333333336,2.8266666666666667,2.4,2.7733333333333334,2.5333333333333337,2.893333333333333,2.97,2.5900000000000003,2.8233333333333337,2.7466666666666666,2.793333333333333,2.5166666666666666,2.69,1443.3333333333333,720.0,1320.0,1296.6666666666667,1406.6666666666667,1343.3333333333333,1206.6666666666667,1116.6666666666667,1276.6666666666667,1183.3333333333333,1066.6666666666667,1170.0,1063.3333333333333,115020284.0
2018,"17,18",1217509.74,1296677.0399999998,2253906.92,25712983.479999997,43418125.12,43418125.12,10029524.68,4030587.8,587807202.42,94445.2,6578108.18,3451694.28,3709474.1199999996,321113.68,2.686666666666667,2.736666666666667,2.3366666666666664,2.69,2.476666666666667,2.8366666666666664,2.92,2.5300000000000002,2.763333333333333,2.6833333333333336,2.7266666666666666,2.4633333333333334,2.6366666666666667,1446.6666666666667,723.3333333333334,1343.3333333333333,1290.0,1426.6666666666667,1336.6666666666667,1213.3333333333333,1126.6666666666667,1280.0,1193.3333333333333,1066.6666666666667,1193.3333333333333,1073.3333333333333,116523338.0
2019,"17,28",1309732.7,1713069.2599999998,2855300.6199999996,30123852.099999998,51287076.95999999,51287076.95999999,10773419.52,5726990.26,577116839.1199999,92778.51999999999,7428670.539999999,3344748.9799999995,5399209.859999999,327780.39999999997,2.6033333333333335,2.733333333333333,2.3733333333333335,2.6833333333333336,2.376666666666667,2.7466666666666666,2.8266666666666667,2.4933333333333336,2.6799999999999997,2.6266666666666665,2.6333333333333333,2.393333333333333,2.56,1326.6666666666667,670.0,1236.6666666666667,1186.6666666666667,1286.6666666666667,1246.6666666666667,1126.6666666666667,1043.3333333333333,1163.3333333333333,1106.6666666666667,986.6666666666666,1113.3333333333333,996.6666666666666,113924292.5375
2020,"17,41",1415844.66,2225573.36,3133913.9599999995,33456934.319999997,61949106.699999996,75599215.89999999,13948722.7,9091461.62,540054320.4,90000.71999999999,8962293.92,4986428.779999999,8764792.34,326669.27999999997,2.64,2.81,2.4633333333333334,2.7566666666666664,2.43,2.7466666666666666,2.84,2.53,2.716666666666667,2.66,2.6566666666666667,2.4166666666666665,2.5933333333333333,1270.0,666.6666666666666,1196.6666666666667,1133.3333333333333,1240.0,1176.6666666666667,1073.3333333333333,993.3333333333334,1123.3333333333333,1056.6666666666667,950.0,1073.3333333333333,956.6666666666666,108137488.18
2021,"17,48",1533345.5999999999,2918634.4599999995,3290859.6599999997,35205837.199999996,72131410.38,72131410.38,18998485.319999997,11627315.239999998,556765842.9799999,90556.27999999998,10454250.299999999,8544235.02,11303979.319999998,323335.92,2.6966666666666668,2.8366666666666664,2.5233333333333334,2.8033333333333332,2.48,2.7900000000000005,2.8833333333333333,2.5866666666666664,2.7833333333333337,2.716666666666667,2.733333333333333,2.5533333333333332,2.6566666666666667,1420.0,746.6666666666666,1336.6666666666667,1276.6666666666667,1380.0,1330.0,1200.0,1123.3333333333333,1296.6666666666667,1186.6666666666667,1066.6666666666667,1220.0,1076.6666666666667,106376800.7425
2022,"17,59",1662235.5199999998,3941975.9799999995,3550861.7399999998,30623578.319999997,76588390.47999999,76588390.47999999,21404060.119999997,16981246.959999997,513961611.65999997,86667.35999999999,12956770.319999998,8447289.799999999,16656799.919999998,324447.04,2.57,2.6933333333333334,2.39,2.6566666666666667,2.353333333333333,2.66,2.72,2.4233333333333333,2.64,2.56,2.56,2.4266666666666663,2.5,1120.0,590.0,1046.6666666666667,1010.0,1080.0,1046.6666666666667,940.0,876.6666666666666,1023.3333333333334,930.0,833.3333333333334,966.6666666666666,836.6666666666666,100377036.0075
