date,loadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HourlyMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,MinHourlyMeanWindspeed,Month,Year,Week,day_of_week,Population,TotalBiomass (MWh),TotalRes(incl.Stat.Transfer) (MWh),Totaal windenergie (MWh),TotalSolarEnergy (MWh),Total Including Non-Renewable (MWh),AveragePrice_Electricity_Household,AveragePrice_Electricity_NonHousehold,AveragePrice_NaturalGas_Household,AveragePrice_NaturalGas_NonHousehold,GDP
2015-01-06,352931.0,1.8,0.6,2.8,6,5.8,3.2,4.0,2.0,1,2015,2,5,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-06,352931.0,1.8,0.6,2.8,6,5.8,3.2,4.0,2.0,1,2015,2,5,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-07,351363.0,1.2,1.1,4.5,24,7.2,4.2,6.0,2.0,1,2015,2,6,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-07,351363.0,1.2,1.1,4.5,24,7.2,4.2,6.0,2.0,1,2015,2,6,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-08,356416.0,17.6,4.0,6.5,36,8.2,5.3,7.0,3.0,1,2015,2,4,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-08,356416.0,17.6,4.0,6.5,36,8.2,5.3,7.0,3.0,1,2015,2,4,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-09,351488.0,8.5,3.0,9.9,58,13.7,8.1,11.0,5.0,1,2015,2,0,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-09,351488.0,8.5,3.0,9.9,58,13.7,8.1,11.0,5.0,1,2015,2,0,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-10,314759.0,3.4,3.2,9.5,54,13.3,8.4,11.0,5.0,1,2015,2,2,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-10,314759.0,3.4,3.2,9.5,54,13.3,8.4,11.0,5.0,1,2015,2,2,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-11,299899.0,1.4,0.8,6.4,49,8.2,6.4,8.0,5.0,1,2015,2,3,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-11,299899.0,1.4,0.8,6.4,49,8.2,6.4,8.0,5.0,1,2015,2,3,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-12,349154.0,1.9,0.4,8.4,64,10.2,8.1,10.0,6.0,1,2015,3,1,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-12,349154.0,1.9,0.4,8.4,64,10.2,8.1,10.0,6.0,1,2015,3,1,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-13,354202.0,14.0,2.9,8.6,41,11.0,6.4,9.0,5.0,1,2015,3,5,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-13,354202.0,14.0,2.9,8.6,41,11.0,6.4,9.0,5.0,1,2015,3,5,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-14,356626.0,1.9,0.6,4.4,31,6.0,5.8,9.0,4.0,1,2015,3,6,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-14,356626.0,1.9,0.6,4.4,31,6.0,5.8,9.0,4.0,1,2015,3,6,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-15,355354.0,8.0,1.5,7.9,58,10.3,7.9,11.0,5.0,1,2015,3,4,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-15,355354.0,8.0,1.5,7.9,58,10.3,7.9,11.0,5.0,1,2015,3,4,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-16,348198.0,1.7,1.1,5.5,27,8.3,4.6,9.0,2.0,1,2015,3,0,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-16,348198.0,1.7,1.1,5.5,27,8.3,4.6,9.0,2.0,1,2015,3,0,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-17,314203.0,0.0,0.0,3.0,-9,5.9,3.8,6.0,2.0,1,2015,3,2,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-17,314203.0,0.0,0.0,3.0,-9,5.9,3.8,6.0,2.0,1,2015,3,2,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-18,304714.0,4.7,0.8,2.2,10,3.3,2.9,4.0,1.0,1,2015,3,3,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-18,304714.0,4.7,0.8,2.2,10,3.3,2.9,4.0,1.0,1,2015,3,3,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-19,351809.0,-0.1,-0.1,1.0,5,1.6,1.2,2.0,1.0,1,2015,4,1,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-19,351809.0,-0.1,-0.1,1.0,5,1.6,1.2,2.0,1.0,1,2015,4,1,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-20,355552.0,0.0,0.0,0.8,-22,3.7,1.8,3.0,1.0,1,2015,4,5,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-20,355552.0,0.0,0.0,0.8,-22,3.7,1.8,3.0,1.0,1,2015,4,5,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-21,357266.0,0.0,0.0,-0.5,-19,1.5,3.0,4.0,2.0,1,2015,4,6,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-21,357266.0,0.0,0.0,-0.5,-19,1.5,3.0,4.0,2.0,1,2015,4,6,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-22,359893.0,0.0,0.0,-1.2,-29,0.4,3.3,5.0,2.0,1,2015,4,4,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-22,359893.0,0.0,0.0,-1.2,-29,0.4,3.3,5.0,2.0,1,2015,4,4,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-23,358488.0,0.0,0.0,-2.8,-57,-1.3,2.4,6.0,1.0,1,2015,4,0,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-23,358488.0,0.0,0.0,-2.8,-57,-1.3,2.4,6.0,1.0,1,2015,4,0,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-24,318784.0,8.6,3.5,2.2,-17,6.8,3.3,6.0,1.0,1,2015,4,2,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-24,318784.0,8.6,3.5,2.2,-17,6.8,3.3,6.0,1.0,1,2015,4,2,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-25,302642.0,0.3,0.2,3.7,-21,5.6,2.6,4.0,1.0,1,2015,4,3,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-25,302642.0,0.3,0.2,3.7,-21,5.6,2.6,4.0,1.0,1,2015,4,3,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
2015-01-26,349724.0,3.1,1.0,5.9,41,8.3,3.5,4.0,3.0,1,2015,5,1,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1604,0.1221428571428571,0.8186666666666667,0.4962,171938.0
2015-01-26,349724.0,3.1,1.0,5.9,41,8.3,3.5,4.0,3.0,1,2015,5,1,1690.0,21863230.459999997,32553593.759999998,6916721.999999999,1424178.0599999998,568482047.8199999,0.1399999999999999,0.1165714285714285,0.8556666666666667,0.4852,171938.0
