PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,Total_Elec_Household,Total_Elec_NonHousehold,Total_NGs_Household,Total_NG_NonHousehold
DeliveryPrice,2023 2e halfjaar*,1.518,1.344,1.295,1.423,1.401,0.735,0.693,0.54,-0.457,0.005,0.162,0.258,0.286,0.269,0.233,0.216,0.241,0.189,0.259,0.211,0.25399999999999995,1.618,4.157,4.792
DeliveryPrice,2023*,1.595,1.617,1.752,1.639,1.487,0.896,0.824,0.671,-0.453,0.034,0.215,0.34,0.412,0.342,0.266,0.232,0.254,0.211,0.258,0.221,0.5479999999999999,1.7840000000000003,4.9639999999999995,5.517
DeliveryPrice,2024 1e halfjaar*,1.555,1.435,1.373,1.47,1.409,0.831,0.717,0.526,-0.536,-0.02,0.143,0.239,0.29,0.242,0.257,0.194,0.186,0.165,0.194,0.135,0.11599999999999994,1.373,4.363,4.952999999999999
NetworkPrice,2009 1e halfjaar,0.264,0.075,0.035,0.055,0.041,0.016,0.01,0.008,0.264,0.105,0.06,0.028,0.061,0.034,0.03,0.023,0.018,0.014,0.012,0.01,0.518,0.14100000000000001,0.374,0.13
NetworkPrice,2009 2e halfjaar,0.376,0.107,0.05,0.087,0.067,0.022,0.018,0.014,0.268,0.107,0.061,0.028,0.062,0.034,0.03,0.023,0.018,0.014,0.012,0.01,0.526,0.14100000000000001,0.533,0.208
NetworkPrice,2009,0.31,0.088,0.041,0.068,0.052,0.019,0.014,0.01,0.266,0.106,0.061,0.028,0.062,0.034,0.03,0.023,0.018,0.014,0.012,0.01,0.523,0.14100000000000001,0.439,0.163
NetworkPrice,2010 1e halfjaar,0.273,0.078,0.033,0.05,0.039,0.015,0.01,0.008,0.253,0.101,0.058,0.026,0.063,0.038,0.03,0.022,0.018,0.014,0.012,0.009,0.501,0.14300000000000002,0.384,0.122
NetworkPrice,2010 2e halfjaar,0.366,0.105,0.045,0.075,0.06,0.018,0.014,0.01,0.258,0.103,0.059,0.027,0.065,0.038,0.03,0.022,0.018,0.014,0.012,0.009,0.512,0.14300000000000002,0.516,0.17700000000000002
NetworkPrice,2010,0.313,0.089,0.038,0.06,0.048,0.016,0.012,0.009,0.255,0.102,0.058,0.027,0.064,0.038,0.03,0.022,0.018,0.014,0.012,0.009,0.506,0.14300000000000002,0.44,0.14500000000000002
NetworkPrice,2011 1e halfjaar,0.268,0.078,0.034,0.044,0.04,0.016,0.012,0.009,0.274,0.11,0.063,0.029,0.071,0.036,0.031,0.023,0.018,0.015,0.014,0.01,0.547,0.14700000000000002,0.38,0.12099999999999998
NetworkPrice,2011 2e halfjaar,0.375,0.109,0.048,0.077,0.045,0.018,0.015,0.01,0.271,0.109,0.063,0.029,0.07,0.039,0.032,0.024,0.019,0.015,0.014,0.01,0.542,0.15300000000000002,0.532,0.16499999999999998
NetworkPrice,2011,0.313,0.091,0.04,0.059,0.042,0.017,0.013,0.009,0.272,0.11,0.063,0.029,0.071,0.037,0.032,0.024,0.019,0.015,0.014,0.01,0.545,0.15100000000000002,0.444,0.14
NetworkPrice,2012 1e halfjaar,0.268,0.079,0.036,0.061,0.043,0.017,0.013,0.005,0.29,0.115,0.066,0.03,0.076,0.045,0.035,0.026,0.02,0.016,0.015,0.01,0.577,0.16700000000000004,0.383,0.139
NetworkPrice,2012 2e halfjaar,0.401,0.118,0.054,0.082,0.05,0.022,0.018,0.006,0.311,0.124,0.071,0.032,0.082,0.047,0.036,0.026,0.021,0.016,0.016,0.01,0.62,0.172,0.5730000000000001,0.178
NetworkPrice,2012,0.321,0.094,0.043,0.069,0.046,0.019,0.015,0.005,0.3,0.12,0.068,0.031,0.079,0.046,0.035,0.026,0.02,0.016,0.016,0.01,0.598,0.16900000000000004,0.458,0.15400000000000003
NetworkPrice,2013 1e halfjaar,0.252,0.075,0.036,0.072,0.047,0.013,0.022,0.008,0.314,0.125,0.071,0.032,0.084,0.038,0.032,0.026,0.023,0.02,0.02,0.02,0.626,0.17899999999999996,0.363,0.162
NetworkPrice,2013 2e halfjaar,0.478,0.143,0.068,0.091,0.051,0.014,0.025,0.008,0.328,0.13,0.074,0.033,0.088,0.042,0.033,0.028,0.023,0.023,0.024,0.024,0.653,0.19699999999999998,0.6890000000000001,0.189
NetworkPrice,2013,0.33,0.099,0.047,0.08,0.049,0.014,0.023,0.008,0.321,0.127,0.072,0.033,0.086,0.04,0.032,0.027,0.023,0.022,0.022,0.022,0.639,0.18799999999999997,0.47600000000000003,0.17400000000000002
NetworkPrice,2014 1e halfjaar,0.287,0.085,0.039,0.073,0.046,0.012,0.014,0.014,0.303,0.121,0.069,0.031,0.084,0.052,0.036,0.025,0.022,0.02,0.025,0.022,0.608,0.20199999999999996,0.411,0.15900000000000003
NetworkPrice,2014 2e halfjaar,0.378,0.111,0.051,0.083,0.046,0.014,0.015,0.014,0.309,0.123,0.07,0.032,0.085,0.045,0.038,0.026,0.023,0.021,0.026,0.023,0.619,0.20199999999999996,0.54,0.17200000000000004
NetworkPrice,2014,0.326,0.096,0.044,0.077,0.046,0.013,0.014,0.014,0.306,0.122,0.07,0.032,0.084,0.048,0.037,0.026,0.023,0.021,0.025,0.022,0.614,0.20199999999999996,0.466,0.16400000000000003
NetworkPrice,2015 1e halfjaar,0.254,0.073,0.033,0.063,0.039,0.012,0.012,0.012,0.296,0.117,0.067,0.031,0.08,0.062,0.036,0.024,0.021,0.019,0.024,0.022,0.591,0.20799999999999996,0.36,0.138
NetworkPrice,2015 2e halfjaar,0.443,0.126,0.058,0.082,0.043,0.013,0.014,0.013,0.293,0.116,0.066,0.03,0.079,0.061,0.036,0.024,0.021,0.019,0.023,0.022,0.584,0.20599999999999996,0.627,0.16500000000000004
NetworkPrice,2015,0.323,0.092,0.042,0.071,0.041,0.012,0.013,0.013,0.294,0.117,0.066,0.03,0.08,0.062,0.036,0.024,0.021,0.019,0.024,0.022,0.587,0.20799999999999996,0.457,0.15
NetworkPrice,2016 1e halfjaar,0.241,0.068,0.031,0.066,0.04,0.013,0.013,0.013,0.292,0.117,0.067,0.03,0.081,0.066,0.033,0.023,0.021,0.019,0.018,0.02,0.587,0.19999999999999996,0.33999999999999997,0.14500000000000002
NetworkPrice,2016 2e halfjaar,0.42,0.118,0.054,0.08,0.042,0.015,0.016,0.015,0.288,0.116,0.066,0.03,0.081,0.064,0.032,0.022,0.021,0.019,0.018,0.02,0.581,0.19599999999999995,0.5920000000000001,0.16800000000000004
NetworkPrice,2016,0.306,0.086,0.039,0.071,0.04,0.013,0.014,0.014,0.29,0.116,0.066,0.03,0.081,0.065,0.032,0.023,0.021,0.019,0.018,0.02,0.583,0.19799999999999995,0.431,0.152
NetworkPrice,2017 1e halfjaar,0.317,0.082,0.038,0.078,0.04,0.014,0.015,0.016,0.283,0.112,0.064,0.03,0.068,0.067,0.03,0.023,0.024,0.015,0.015,0.017,0.5569999999999999,0.191,0.437,0.16300000000000003
NetworkPrice,2017 2e halfjaar,0.453,0.117,0.055,0.091,0.045,0.016,0.017,0.016,0.287,0.113,0.065,0.031,0.069,0.065,0.03,0.022,0.024,0.016,0.015,0.017,0.565,0.189,0.6250000000000001,0.18500000000000005
NetworkPrice,2017,0.373,0.096,0.045,0.083,0.042,0.015,0.016,0.016,0.285,0.113,0.065,0.03,0.069,0.066,0.03,0.022,0.024,0.016,0.015,0.017,0.562,0.19,0.514,0.17200000000000004
NetworkPrice,2018 1e halfjaar,0.323,0.093,0.035,0.081,0.042,0.015,0.013,0.014,0.338,0.117,0.067,0.031,0.069,0.077,0.029,0.023,0.022,0.015,0.015,0.016,0.6220000000000001,0.197,0.45100000000000007,0.16500000000000004
NetworkPrice,2018 2e halfjaar,0.394,0.111,0.043,0.099,0.049,0.016,0.016,0.014,0.297,0.103,0.058,0.027,0.068,0.073,0.027,0.022,0.021,0.015,0.015,0.015,0.5529999999999999,0.188,0.548,0.19400000000000006
NetworkPrice,2018,0.352,0.1,0.038,0.088,0.045,0.015,0.014,0.014,0.318,0.11,0.063,0.029,0.069,0.075,0.028,0.022,0.021,0.015,0.015,0.015,0.589,0.191,0.48999999999999994,0.17600000000000005
NetworkPrice,2019 1e halfjaar,0.302,0.087,0.033,0.064,0.04,0.014,0.012,0.012,0.3,0.116,0.068,0.031,0.071,0.078,0.031,0.023,0.02,0.015,0.012,0.015,0.586,0.194,0.42200000000000004,0.14200000000000002
NetworkPrice,2019 2e halfjaar,0.434,0.128,0.049,0.105,0.044,0.016,0.014,0.014,0.302,0.117,0.069,0.031,0.069,0.067,0.031,0.023,0.02,0.015,0.012,0.015,0.5880000000000001,0.183,0.6110000000000001,0.193
NetworkPrice,2019,0.371,0.107,0.04,0.078,0.042,0.015,0.013,0.013,0.301,0.117,0.069,0.031,0.07,0.072,0.031,0.023,0.02,0.015,0.012,0.015,0.5880000000000001,0.188,0.518,0.16100000000000003
NetworkPrice,2020 1e halfjaar,0.357,0.101,0.037,0.094,0.04,0.015,0.013,0.013,0.313,0.126,0.075,0.033,0.07,0.077,0.034,0.023,0.019,0.015,0.012,0.023,0.617,0.20299999999999999,0.49499999999999994,0.17500000000000004
NetworkPrice,2020 2e halfjaar,0.469,0.135,0.05,0.111,0.044,0.016,0.016,0.016,0.303,0.122,0.072,0.032,0.071,0.075,0.032,0.024,0.02,0.016,0.014,0.012,0.6,0.193,0.654,0.203
NetworkPrice,2020,0.403,0.115,0.042,0.101,0.042,0.015,0.014,0.014,0.308,0.124,0.074,0.033,0.071,0.076,0.033,0.023,0.02,0.015,0.013,0.014,0.61,0.194,0.56,0.18600000000000005
NetworkPrice,2021 1e halfjaar,0.325,0.096,0.035,0.093,0.042,0.014,0.014,0.014,0.314,0.126,0.075,0.034,0.079,0.09,0.037,0.026,0.023,0.018,0.018,0.021,0.628,0.23299999999999996,0.45600000000000007,0.17700000000000005
NetworkPrice,2021 2e halfjaar,0.475,0.141,0.052,0.119,0.046,0.015,0.015,0.017,0.321,0.129,0.077,0.035,0.081,0.096,0.036,0.026,0.022,0.018,0.019,0.02,0.643,0.23699999999999996,0.668,0.21200000000000002
NetworkPrice,2021,0.386,0.114,0.042,0.104,0.043,0.014,0.014,0.015,0.317,0.128,0.076,0.034,0.08,0.093,0.036,0.026,0.022,0.018,0.019,0.02,0.635,0.23399999999999996,0.542,0.19
NetworkPrice,2022 1e halfjaar,0.371,0.1,0.037,0.113,0.042,0.013,0.013,0.02,0.379,0.154,0.091,0.04,0.06,0.104,0.04,0.028,0.025,0.021,0.019,0.022,0.724,0.25899999999999995,0.508,0.201
NetworkPrice,2022 2e halfjaar,0.467,0.126,0.046,0.114,0.044,0.014,0.014,0.024,0.264,0.107,0.064,0.028,0.041,0.092,0.035,0.025,0.022,0.018,0.017,0.019,0.504,0.22799999999999995,0.639,0.21000000000000002
NetworkPrice,2022,0.411,0.111,0.04,0.114,0.043,0.013,0.013,0.022,0.314,0.128,0.076,0.033,0.049,0.098,0.037,0.027,0.024,0.02,0.018,0.02,0.6000000000000001,0.24399999999999997,0.562,0.20500000000000002
NetworkPrice,2023 1e halfjaar,0.359,0.118,0.04,0.155,0.069,0.018,0.022,0.034,0.4,0.169,0.101,0.044,0.072,0.112,0.056,0.041,0.037,0.029,0.032,0.032,0.786,0.3390000000000001,0.517,0.29800000000000004
NetworkPrice,2023 2e halfjaar*,0.595,0.196,0.066,0.167,0.073,0.02,0.021,0.037,0.412,0.174,0.104,0.045,0.075,0.11,0.053,0.035,0.037,0.028,0.032,0.026,0.8099999999999999,0.32100000000000006,0.857,0.318
NetworkPrice,2023*,0.448,0.147,0.05,0.162,0.071,0.019,0.021,0.035,0.406,0.172,0.102,0.044,0.073,0.111,0.055,0.037,0.037,0.028,0.032,0.029,0.797,0.32900000000000007,0.645,0.30800000000000005
NetworkPrice,2024 1e halfjaar*,0.369,0.153,0.044,0.123,0.059,0.019,0.019,0.029,0.495,0.213,0.127,0.054,0.091,0.134,0.067,0.046,0.046,0.036,0.046,0.039,0.98,0.4139999999999999,0.5660000000000001,0.24899999999999997
