PriceComponents,Periods,NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,Total_Elec_Household,Total_Elec_NonHousehold,Total_NGs_Household,Total_NG_NonHousehold
TotalPrice,2016 1e halfjaar,1.063,0.762,0.698,0.75,0.684,0.453,0.303,0.214,-0.11,0.114,0.162,0.175,0.243,0.189,0.168,0.105,0.093,0.079,0.074,0.07,0.584,0.7779999999999998,2.5229999999999997,2.4040000000000004
TotalPrice,2016 2e halfjaar,1.277,0.79,0.696,0.751,0.667,0.34,0.286,0.22,-0.106,0.112,0.159,0.173,0.202,0.179,0.123,0.097,0.093,0.071,0.071,0.071,0.54,0.7049999999999998,2.763,2.2640000000000002
TotalPrice,2016,1.142,0.771,0.696,0.749,0.676,0.407,0.295,0.217,-0.108,0.113,0.16,0.174,0.222,0.184,0.145,0.102,0.093,0.075,0.072,0.07,0.5609999999999999,0.7409999999999999,2.609,2.3440000000000003
TotalPrice,2017 1e halfjaar,1.112,0.746,0.659,0.738,0.655,0.432,0.3,0.247,-0.117,0.106,0.156,0.173,0.225,0.196,0.165,0.1,0.094,0.074,0.067,0.066,0.5429999999999999,0.762,2.5170000000000003,2.372
TotalPrice,2017 2e halfjaar,1.328,0.795,0.68,0.743,0.645,0.318,0.271,0.238,-0.118,0.105,0.156,0.173,0.188,0.199,0.113,0.092,0.092,0.063,0.062,0.065,0.504,0.6859999999999999,2.8030000000000004,2.215
TotalPrice,2017,1.2,0.766,0.668,0.739,0.651,0.381,0.286,0.242,-0.118,0.106,0.156,0.172,0.207,0.197,0.14,0.095,0.093,0.069,0.064,0.065,0.523,0.7230000000000001,2.634,2.299
TotalPrice,2018 1e halfjaar,1.155,0.796,0.711,0.741,0.675,0.454,0.31,0.273,-0.026,0.126,0.171,0.185,0.24,0.166,0.173,0.105,0.094,0.077,0.068,0.065,0.696,0.7479999999999998,2.662,2.453
TotalPrice,2018 2e halfjaar,1.336,0.826,0.705,0.777,0.664,0.351,0.296,0.307,-0.097,0.108,0.162,0.184,0.203,0.196,0.127,0.098,0.096,0.069,0.071,0.069,0.56,0.726,2.867,2.395
TotalPrice,2018,1.227,0.808,0.709,0.755,0.67,0.408,0.303,0.297,-0.062,0.117,0.167,0.184,0.222,0.171,0.15,0.101,0.095,0.073,0.07,0.067,0.628,0.7269999999999999,2.744,2.4330000000000003
TotalPrice,2019 1e halfjaar,1.272,0.902,0.821,0.842,0.754,0.457,0.308,0.264,0.078,0.181,0.205,0.211,0.267,0.222,0.165,0.114,0.105,0.085,0.076,0.073,0.942,0.8399999999999999,2.995,2.625
