HourlyMaxTemperature,AveragePrice_Electricity_Household,HourlyMaxTemperature,day_of_week,AveragePrice_NaturalGas_Household,GDP,TotalSolarEnergy (MWh),DailyPrecipitation,Population,Year,TotalRes(incl.Stat.Transfer) (MWh),is_weekend,is_holiday,rolling_7,rolling_30,loadConsumption
6.3,0.1604,6.3,5,0.8186666666666667,171938.0,1424178.0599999998,0.1,1690.0,2015,32553593.76,0,0,340041.28571428574,341494.8,350064.0
5.3,0.1604,5.3,6,0.8186666666666667,171938.0,1424178.0599999998,-0.1,1690.0,2015,32553593.76,0,0,339561.85714285716,341562.5333333333,352969.0
2.0,0.1604,2.0,4,0.8186666666666667,171938.0,1424178.0599999998,0.9,1690.0,2015,32553593.76,0,0,339615.5714285714,341670.9,356182.0
3.1,0.1604,3.1,0,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,339172.5714285714,341611.1666666667,349571.0
5.5,0.1604,5.5,2,0.8186666666666667,171938.0,1424178.0599999998,-0.1,1690.0,2015,32553593.76,1,0,339262.85714285716,340286.26666666666,316669.0
6.7,0.1604,6.7,3,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,338821.14285714284,338476.0333333333,297181.0
7.2,0.1604,7.2,1,0.8186666666666667,171938.0,1424178.0599999998,0.3,1690.0,2015,32553593.76,0,0,338533.28571428574,339553.9666666667,347097.0
7.2,0.1604,7.2,5,0.8186666666666667,171938.0,1424178.0599999998,0.2,1690.0,2015,32553593.76,0,0,338498.28571428574,341217.9666666667,349819.0
5.4,0.1604,5.4,6,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,338107.4285714286,341253.93333333335,350233.0
4.5,0.1604,4.5,4,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,337272.4285714286,341125.1,350337.0
9.9,0.1604,9.9,0,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,335703.0,340523.73333333334,338585.0
10.2,0.1604,10.2,2,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,333751.0,338778.76666666666,303005.0
6.7,0.1604,6.7,3,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,332172.28571428574,336709.8333333333,286130.0
7.7,0.1604,7.7,1,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,1,329914.71428571426,337279.5333333333,331294.0
9.0,0.1604,9.0,5,0.8186666666666667,171938.0,1424178.0599999998,0.1,1690.0,2015,32553593.76,0,0,328136.4285714286,338368.1,337371.0
8.1,0.1604,8.1,6,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,326853.5714285714,338016.23333333334,341253.0
7.4,0.1604,7.4,4,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,325665.4285714286,337565.1666666667,342020.0
6.5,0.1604,6.5,0,0.8186666666666667,171938.0,1424178.0599999998,20.0,1690.0,2015,32553593.76,0,0,326833.14285714284,337214.93333333335,346759.0
6.3,0.1604,6.3,2,0.8186666666666667,171938.0,1424178.0599999998,9.4,1690.0,2015,32553593.76,1,0,327716.85714285716,335524.86666666664,309191.0
6.8,0.1604,6.8,3,0.8186666666666667,171938.0,1424178.0599999998,2.2,1690.0,2015,32553593.76,1,0,328186.4285714286,333222.5,289417.0
9.8,0.1604,9.8,1,0.8186666666666667,171938.0,1424178.0599999998,2.8,1690.0,2015,32553593.76,0,0,329091.85714285716,333850.76666666666,337632.0
8.9,0.1604,8.9,5,0.8186666666666667,171938.0,1424178.0599999998,7.3,1690.0,2015,32553593.76,0,0,329528.85714285716,335110.36666666664,340430.0
8.7,0.1604,8.7,6,0.8186666666666667,171938.0,1424178.0599999998,2.8,1690.0,2015,32553593.76,0,0,329227.4285714286,334757.6666666667,339143.0
8.3,0.1604,8.3,4,0.8186666666666667,171938.0,1424178.0599999998,7.0,1690.0,2015,32553593.76,0,0,329273.14285714284,334497.23333333334,342340.0
8.2,0.1604,8.2,0,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,327365.5714285714,333733.26666666666,333406.0
9.1,0.1604,9.1,2,0.8186666666666667,171938.0,1424178.0599999998,-0.1,1690.0,2015,32553593.76,1,0,326207.28571428574,331909.1666666667,301083.0
10.7,0.1604,10.7,3,0.8186666666666667,171938.0,1424178.0599999998,5.1,1690.0,2015,32553593.76,1,0,325036.71428571426,329527.5333333333,281223.0
8.4,0.1604,8.4,1,0.8186666666666667,171938.0,1424178.0599999998,2.4,1690.0,2015,32553593.76,0,0,324010.4285714286,330007.9,330448.0
7.5,0.1604,7.5,5,0.8186666666666667,171938.0,1424178.0599999998,2.0,1690.0,2015,32553593.76,0,0,323559.28571428574,331241.2,337272.0
7.6,0.1604,7.6,6,0.8186666666666667,171938.0,1424178.0599999998,0.3,1690.0,2015,32553593.76,0,0,323223.71428571426,330830.6,336794.0
10.3,0.1604,10.3,4,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,321737.5714285714,330226.36666666664,331937.0
9.0,0.1604,9.0,0,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,321530.14285714284,329525.86666666664,331954.0
13.9,0.1604,13.9,2,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,320318.28571428574,327406.4666666667,292600.0
15.7,0.1604,15.7,3,0.8186666666666667,171938.0,1424178.0599999998,-0.1,1690.0,2015,32553593.76,1,0,319009.28571428574,324822.76666666666,272060.0
11.3,0.1604,11.3,1,0.8186666666666667,171938.0,1424178.0599999998,-0.1,1690.0,2015,32553593.76,0,0,318166.14285714284,325085.3333333333,324546.0
11.3,0.1604,11.3,5,0.8186666666666667,171938.0,1424178.0599999998,0.2,1690.0,2015,32553593.76,0,0,316240.71428571426,325972.43333333335,323794.0
9.5,0.1604,9.5,6,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,314821.14285714284,325297.76666666666,326857.0
12.7,0.1604,12.7,4,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,313710.5714285714,324442.56666666665,324163.0
9.2,0.1604,9.2,0,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,312253.71428571426,323493.3333333333,321756.0
5.3,0.1604,5.3,2,0.8186666666666667,171938.0,1424178.0599999998,0.2,1690.0,2015,32553593.76,1,0,312998.4285714286,321742.5333333333,297813.0
6.8,0.1604,6.8,3,0.8186666666666667,171938.0,1424178.0599999998,0.1,1690.0,2015,32553593.76,1,0,314323.85714285716,319834.3,281338.0
12.8,0.1604,12.8,1,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,313653.0,320395.8,319850.0
17.8,0.1604,17.8,5,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,313238.5714285714,321554.56666666665,320893.0
8.8,0.1604,8.8,6,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,313191.28571428574,321395.63333333336,326526.0
12.6,0.1604,12.6,4,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,313341.71428571426,320990.4666666667,325216.0
9.3,0.1604,9.3,0,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,313645.28571428574,320411.4,323881.0
9.3,0.1604,9.3,2,0.8186666666666667,171938.0,1424178.0599999998,2.2,1690.0,2015,32553593.76,1,0,312475.85714285716,318664.9666666667,289627.0
8.6,0.1604,8.6,3,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,310839.4285714286,316102.43333333335,269883.0
9.3,0.1604,9.3,1,0.8186666666666667,171938.0,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,310585.85714285716,316398.56666666665,318075.0
11.5,0.1604,11.5,5,0.8186666666666667,171938.0,1424178.0599999998,0.3,1690.0,2015,32553593.76,0,0,310777.71428571426,317492.5333333333,322236.0
6.9,0.1604,6.9,6,0.8186666666666667,171938.0,1424178.0599999998,7.2,1690.0,2015,32553593.76,0,0,311360.28571428574,317258.26666666666,330604.0
7.3,0.1604,7.3,4,0.8186666666666667,171938.0,1424178.0599999998,4.1,1690.0,2015,32553593.76,0,0,311970.4285714286,316893.5,329487.0
8.9,0.1604,8.9,0,0.8186666666666667,171938.0,1424178.0599999998,1.7,1690.0,2015,32553593.76,0,0,310669.85714285716,316081.3,314777.0
11.7,0.1604,11.7,2,0.8186666666666667,171938.0,1424178.0599999998,3.3,1690.0,2015,32553593.76,1,0,310598.71428571426,314307.6,289129.0
11.3,0.1604,11.3,3,0.8186666666666667,171938.0,1424178.0599999998,16.2,1690.0,2015,32553593.76,1,0,311531.71428571426,312407.86666666664,276414.0
9.1,0.1604,9.1,1,0.8186666666666667,171938.0,1424178.0599999998,5.4,1690.0,2015,32553593.76,0,0,311166.71428571426,312889.1,315520.0
11.1,0.1604,11.1,5,0.8186666666666667,171938.0,1424178.0599999998,9.0,1690.0,2015,32553593.76,0,0,310736.14285714284,314155.73333333334,319222.0
9.1,0.1604,9.1,6,0.8186666666666667,174143.8,1424178.0599999998,4.0,1690.0,2015,32553593.76,0,0,309002.28571428574,313756.36666666664,318467.0
8.6,0.1604,8.6,4,0.8186666666666667,174143.8,1424178.0599999998,4.7,1690.0,2015,32553593.76,0,0,307377.14285714284,313117.6666666667,318111.0
9.5,0.1604,9.5,0,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,306831.0,312256.3333333333,310954.0
9.4,0.1604,9.4,2,0.8186666666666667,174143.8,1424178.0599999998,1.9,1690.0,2015,32553593.76,1,0,305915.4285714286,310615.76666666666,282720.0
11.3,0.1604,11.3,3,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,302887.4285714286,308057.9,255218.0
11.7,0.1604,11.7,1,0.8186666666666667,174143.8,1424178.0599999998,-0.1,1690.0,2015,32553593.76,0,0,296314.71428571426,307288.26666666666,269511.0
13.2,0.1604,13.2,5,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,295484.71428571426,308666.6666666667,313412.0
14.2,0.1604,14.2,6,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,295070.85714285716,308367.4666666667,315570.0
18.1,0.1604,18.1,4,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,293887.71428571426,307901.9666666667,309829.0
19.6,0.1604,19.6,0,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,293004.71428571426,307165.8333333333,304773.0
13.6,0.1604,13.6,2,0.8186666666666667,174143.8,1424178.0599999998,4.1,1690.0,2015,32553593.76,1,0,292249.4285714286,305608.1666666667,277433.0
15.5,0.1604,15.5,3,0.8186666666666667,174143.8,1424178.0599999998,0.1,1690.0,2015,32553593.76,1,0,292263.28571428574,303393.4666666667,255315.0
12.8,0.1604,12.8,1,0.8186666666666667,174143.8,1424178.0599999998,-0.1,1690.0,2015,32553593.76,0,0,296916.0,303535.7,302080.0
20.0,0.1604,20.0,5,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,295541.4285714286,304284.1,303790.0
23.0,0.1604,23.0,6,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,293816.5714285714,303738.9666666667,303496.0
13.4,0.1604,13.4,4,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,293305.28571428574,303250.86666666664,306250.0
12.9,0.1604,12.9,0,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,293412.28571428574,302550.73333333334,305522.0
14.4,0.1604,14.4,2,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,292043.5714285714,300638.6,267852.0
15.2,0.1604,15.2,3,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,292220.5714285714,298394.36666666664,256554.0
17.1,0.1604,17.1,1,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,292171.14285714284,298797.93333333335,301734.0
17.4,0.1604,17.4,5,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,292441.71428571426,299991.3,305684.0
12.1,0.1604,12.1,6,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,293795.85714285716,299821.3,312975.0
15.5,0.1604,15.5,4,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,294283.4285714286,299402.2,309663.0
20.4,0.1604,20.4,0,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,294366.85714285716,298585.6,306106.0
15.0,0.1604,15.0,2,0.8186666666666667,174143.8,1424178.0599999998,3.7,1690.0,2015,32553593.76,1,0,295816.28571428574,296869.3,277998.0
13.9,0.1604,13.9,3,0.8186666666666667,174143.8,1424178.0599999998,0.7,1690.0,2015,32553593.76,1,0,296628.4285714286,295118.0333333333,262239.0
12.6,0.1604,12.6,1,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,290355.71428571426,294074.56666666665,257825.0
11.8,0.1604,11.8,5,0.8186666666666667,174143.8,1424178.0599999998,0.1,1690.0,2015,32553593.76,0,0,290418.0,295064.76666666666,306120.0
14.7,0.1604,14.7,6,0.8186666666666667,174143.8,1424178.0599999998,1.6,1690.0,2015,32553593.76,0,0,290230.85714285716,294936.26666666666,311665.0
14.2,0.1604,14.2,4,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,290451.85714285716,294669.2,311210.0
13.3,0.1604,13.3,0,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,0,0,290691.14285714284,294313.0,307781.0
15.8,0.1604,15.8,2,0.8186666666666667,174143.8,1424178.0599999998,0.0,1690.0,2015,32553593.76,1,0,290078.4285714286,292832.93333333335,273709.0
17.0,0.1604,17.0,3,0.8186666666666667,174143.8,1424178.0599999998,1.6,1690.0,2015,32553593.76,1,0,290498.85714285716,291307.2,265182.0
19.4,0.1604,19.4,1,0.8186666666666667,174143.8,1424178.0599999998,3.8,1690.0,2015,32553593.76,0,0,296402.4285714286,291854.86666666664,299150.0
22.2,0.1604,22.2,5,0.8186666666666667,174143.8,1424178.0599999998,9.2,1690.0,2015,32553593.76,0,0,293428.14285714284,292857.6,285300.0
15.5,0.1604,15.5,6,0.8186666666666667,174143.8,1424178.0599999998,5.0,1690.0,2015,32553593.76,0,0,292678.28571428574,294087.76666666666,306416.0
