Housing characteristics,Year,Regions,AvgGasConsumptionResedetial,AvgElectricitySupplyResedential
Owner-occupied house,2018,Noord-Brabant (PV),1550.0,3590.0
Owner-occupied house,2019,Noord-Brabant (PV),1440.0,3460.0
Owner-occupied house,2020,Noord-Brabant (PV),1350.0,3490.0
Owner-occupied house,2021,Noord-Brabant (PV),1530.0,3540.0
Owner-occupied house,2022,Noord-Brabant (PV),1190.0,3320.0
Owner-occupied house,2010,Limburg (PV),,
Owner-occupied house,2011,Limburg (PV),,
Owner-occupied house,2012,Limburg (PV),2000.0,4000.0
Owner-occupied house,2013,Limburg (PV),2100.0,3950.0
Owner-occupied house,2014,Limburg (PV),1550.0,3800.0
Owner-occupied house,2015,Limburg (PV),1680.0,3700.0
Owner-occupied house,2016,Limburg (PV),1750.0,3630.0
Owner-occupied house,2017,Limburg (PV),1690.0,3560.0
Owner-occupied house,2018,Limburg (PV),1680.0,3490.0
Owner-occupied house,2019,Limburg (PV),1560.0,3360.0
Owner-occupied house,2020,Limburg (PV),1460.0,3350.0
Owner-occupied house,2021,Limburg (PV),1660.0,3410.0
Owner-occupied house,2022,Limburg (PV),1300.0,3220.0
