Date,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,HDMaxTemperature,DailyMeanWindspeed,MaxHourlyMeanWindspeed,HDMaxMeanWindspeed,MinHourlyMeanWindspeed,HDMinMeanWindspeed,Month,Year_x,Week,WeekKey,day_of_week,DailyLoadConsumption,Year_y,GeothermalHeat,AmbientAirHeat,TotalGeothermal&GroundEnergy,TotalBiomass,TotalRes(excl.Stat.Transfer),TotalRes(incl.Stat.Transfer),Totaal windenergie,TotalSolarEnergy,Total Including Non-Renewable,Hydropower,OnshoreWindEnergy,OffshoreWindEnergy,SolarPower,SolarThermalEnergy,Population,"Crude, NGL and feedstocks",Electricity,Heat,Natural gas,Oil products,Renewables and waste,Total,Commercial and public services (PJ),"Electricity, CHP and heat plants (PJ)",Exports (PJ),Imports (PJ),Industry (PJ),"Oil refineries, transformation (PJ)",Other final consumption (PJ),Production (PJ),Residential (PJ),Total energy supply (PJ),Total final consumption (PJ),Transport (PJ),NG_Household_LessThan_569m3_EuroPerM3,NG_Household_569to5687m3_EuroPerM3,NG_Household_MoreThan_5687m3_EuroPerM3,NG_NonHousehold_LessThan_28433m3_EuroPerM3,NG_NonHousehold_28433to284333m3_EuroPerM3,NG_NonHousehold_284333to2843332m3_EuroPerM3,NG_NonHousehold_2843332to28433324m3_EuroPerM3,NG_NonHousehold_MoreThan_28433324m3_EuroPerM3,Electricity_Household_LessThan_1MWh_EuroPerKWh,Electricity_Household_1to2.5MWh_EuroPerKWh,Electricity_Household_2.5to5MWh_EuroPerKWh,Electricity_Household_5to15MWh_EuroPerKWh,Electricity_Household_MoreThan_15MWh_EuroPerKWh,Electricity_NonHousehold_LessThan_20MWh_EuroPerKWh,Electricity_NonHousehold_20to500MWh_EuroPerKWh,Electricity_NonHousehold_500to2000MWh_EuroPerKWh,Electricity_NonHousehold_2000to20000MWh_EuroPerKWh,Electricity_NonHousehold_20000to70000MWh_EuroPerKWh,Electricity_NonHousehold_70000to150000MWh_EuroPerKWh,Electricity_NonHousehold_MoreThan_150000MWh_EuroPerKWh,Total_Elec_Household,Total_Elec_NonHousehold,Total_NGs_Household,Total_NG_NonHousehold,GDP,NAO
2009-01-15,0.0,0.0,1,2.6,10,24,5.0,14,3.3,5.0,12,2.0,1,1,2009,3,200903,Thursday,321462.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.057,0.791,0.722,0.752,0.662,0.459,0.374,0.276,-0.103,0.144,0.198,0.216,0.257,0.212,0.187,0.132,0.118,0.108,0.104,0.08,0.712,0.941,2.57,2.523000000000001,158583.0,-0.01
2009-01-16,-0.1,-0.1,14,1.7,1,8,3.7,23,3.9,5.0,13,3.0,17,1,2009,3,200903,Friday,335329.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0568563535911601,0.7902651933701658,0.7211712707182321,0.7512817679558011,0.6617237569060774,0.45871270718232043,0.3737569060773481,0.2758011049723757,-0.10307734806629834,0.14395580110497236,0.19795580110497238,0.21596132596685083,0.2567127071823204,0.21199447513812153,0.18677900552486187,0.13197237569060774,0.1179889502762431,0.10795027624309392,0.10394475138121546,0.07995580110497237,0.7115082872928177,0.940585635359116,2.568292817679558,2.5212762430939235,158583.0,-0.01
2009-01-17,0.7,0.3,12,5.0,28,3,7.5,16,5.1,7.0,24,4.0,1,1,2009,3,200903,Saturday,309558.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0567127071823204,0.7895303867403315,0.720342541436464,0.7505635359116022,0.6614475138121547,0.4584254143646409,0.37351381215469615,0.27560220994475143,-0.10315469613259667,0.14391160220994473,0.19791160220994475,0.21592265193370166,0.2564254143646409,0.2119889502762431,0.18655801104972375,0.13194475138121547,0.11797790055248618,0.10790055248618785,0.10388950276243093,0.07991160220994475,0.7110165745856353,0.940171270718232,2.566585635359116,2.5195524861878464,158583.0,-0.01
2009-01-18,5.4,2.9,4,5.5,21,24,7.7,3,6.1,8.0,2,4.0,18,1,2009,3,200903,Sunday,297495.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0565690607734806,0.7887955801104973,0.7195138121546961,0.7498453038674033,0.6611712707182321,0.4581381215469613,0.3732707182320442,0.2754033149171271,-0.10323204419889502,0.14386740331491712,0.19786740331491715,0.21588397790055247,0.2561381215469613,0.21198342541436463,0.18633701657458562,0.1319171270718232,0.11796685082872928,0.10785082872928177,0.1038342541436464,0.07986740331491712,0.710524861878453,0.939756906077348,2.564878453038674,2.517828729281769,158583.0,-0.01
2009-01-19,4.1,1.0,19,4.8,21,1,8.8,18,6.5,10.0,14,4.0,5,1,2009,4,200904,Monday,342859.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0564254143646408,0.7880607734806631,0.7186850828729282,0.7491270718232044,0.6608950276243094,0.4578508287292818,0.3730276243093923,0.2752044198895028,-0.10330939226519337,0.1438232044198895,0.19782320441988951,0.2158453038674033,0.2558508287292818,0.2119779005524862,0.18611602209944753,0.13188950276243094,0.11795580110497236,0.10780110497237569,0.10377900552486187,0.0798232044198895,0.7100331491712707,0.939342541436464,2.563171270718232,2.5161049723756914,158583.0,-0.01
2009-01-20,0.9,0.4,2,4.0,18,6,6.4,14,4.8,6.0,1,3.0,16,1,2009,4,200904,Tuesday,329376.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.056281767955801,0.7873259668508288,0.7178563535911602,0.7484088397790055,0.6606187845303868,0.4575635359116022,0.3727845303867403,0.27500552486187846,-0.10338674033149171,0.14377900552486186,0.19777900552486188,0.21580662983425414,0.2555635359116022,0.21197237569060773,0.1858950276243094,0.13186187845303868,0.11794475138121546,0.10775138121546961,0.10372375690607734,0.07977900552486188,0.7095414364640884,0.93892817679558,2.56146408839779,2.5143812154696144,158583.0,-0.01
2009-01-21,0.0,0.0,1,3.4,12,3,5.6,13,3.5,4.0,1,2.0,3,1,2009,4,200904,Wednesday,321928.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0561381215469612,0.7865911602209945,0.7170276243093923,0.7476906077348067,0.6603425414364641,0.4572762430939227,0.3725414364640884,0.2748066298342542,-0.10346408839779005,0.14373480662983423,0.19773480662983425,0.21576795580110497,0.25527624309392266,0.21196685082872926,0.18567403314917127,0.1318342541436464,0.11793370165745856,0.10770165745856354,0.10366850828729281,0.07973480662983426,0.709049723756906,0.9385138121546961,2.559756906077348,2.512657458563537,158583.0,-0.01
2009-01-22,6.8,1.4,15,4.0,16,1,6.2,19,6.4,9.0,17,3.0,21,1,2009,4,200904,Thursday,342667.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0559944751381214,0.7858563535911602,0.7161988950276242,0.7469723756906077,0.6600662983425415,0.4569889502762431,0.37229834254143646,0.27460773480662987,-0.1035414364640884,0.14369060773480663,0.19769060773480665,0.2157292817679558,0.2549889502762431,0.21196132596685083,0.18545303867403315,0.13180662983425415,0.11792265193370165,0.10765193370165746,0.10361325966850829,0.07969060773480663,0.7085580110497237,0.9380994475138121,2.558049723756906,2.5109337016574598,158583.0,-0.01
2009-01-23,22.6,3.1,4,5.1,37,5,7.7,14,5.9,8.0,16,3.0,15,1,2009,4,200904,Friday,346260.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0558508287292816,0.785121546961326,0.7153701657458563,0.7462541436464089,0.6597900552486188,0.45670165745856356,0.37205524861878453,0.27440883977900554,-0.10361878453038674,0.143646408839779,0.19764640883977902,0.21569060773480664,0.25470165745856355,0.21195580110497236,0.18523204419889502,0.13177900552486188,0.11791160220994475,0.10760220994475138,0.10355801104972376,0.07964640883977901,0.7080662983425414,0.9376850828729281,2.556342541436464,2.5092099447513823,158583.0,-0.01
2009-01-24,-0.1,-0.1,3,4.0,9,24,6.1,13,3.2,4.0,1,2.0,19,1,2009,4,200904,Saturday,309187.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.055707182320442,0.7843867403314917,0.7145414364640884,0.74553591160221,0.6595138121546962,0.456414364640884,0.3718121546961326,0.2742099447513812,-0.10369613259668507,0.14360220994475137,0.1976022099447514,0.21565193370165744,0.25441436464088396,0.21195027624309393,0.1850110497237569,0.13175138121546962,0.11790055248618785,0.1075524861878453,0.10350276243093923,0.07960220994475138,0.7075745856353591,0.9372707182320441,2.554635359116022,2.5074861878453047,158583.0,-0.01
2009-01-25,0.0,0.0,1,2.2,-2,4,5.0,14,4.8,7.0,14,3.0,1,1,2009,4,200904,Sunday,288402.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0555635359116022,0.7836519337016575,0.7137127071823204,0.744817679558011,0.6592375690607735,0.45612707182320444,0.3715690607734807,0.27401104972375695,-0.10377348066298342,0.14355801104972374,0.19755801104972376,0.21561325966850828,0.25412707182320443,0.21194475138121546,0.18479005524861877,0.13172375690607735,0.11788950276243093,0.10750276243093923,0.1034475138121547,0.07955801104972376,0.7070828729281767,0.9368563535911602,2.55292817679558,2.5057624309392277,158583.0,-0.01
2009-01-26,0.0,0.0,1,1.3,-23,20,5.6,14,3.3,5.0,1,1.0,16,1,2009,5,200905,Monday,326085.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0554198895027624,0.7829171270718233,0.7128839779005525,0.7440994475138122,0.6589613259668509,0.45583977900552486,0.37132596685082875,0.2738121546961326,-0.10385082872928177,0.14351381215469614,0.19751381215469613,0.2155745856353591,0.25383977900552485,0.211939226519337,0.18456906077348068,0.13169613259668508,0.11787845303867403,0.10745303867403315,0.10339226519337016,0.07951381215469613,0.7065911602209944,0.9364419889502762,2.551220994475138,2.50403867403315,158583.0,-0.01
2009-01-27,0.0,0.0,1,-0.5,-41,24,3.8,13,2.0,3.0,2,1.0,13,1,2009,5,200905,Tuesday,326473.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0552762430939227,0.782182320441989,0.7120552486187846,0.7433812154696132,0.6586850828729283,0.45555248618784533,0.3710828729281768,0.2736132596685083,-0.1039281767955801,0.1434696132596685,0.19746961325966852,0.21553591160220995,0.2535524861878453,0.21193370165745856,0.18434806629834255,0.13166850828729282,0.11786740331491712,0.10740331491712707,0.10333701657458563,0.0794696132596685,0.7060994475138122,0.9360276243093922,2.549513812154696,2.5023149171270727,158583.0,-0.01
2009-01-28,0.0,0.0,1,-1.0,-47,4,2.8,14,2.8,4.0,12,2.0,1,1,2009,5,200905,Wednesday,327707.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0551325966850829,0.7814475138121547,0.7112265193370165,0.7426629834254144,0.6584088397790056,0.45526519337016574,0.37083977900552484,0.273414364640884,-0.10400552486187845,0.14342541436464087,0.1974254143646409,0.21549723756906078,0.25326519337016573,0.2119281767955801,0.18412707182320442,0.13164088397790055,0.11785635359116022,0.10735359116022099,0.1032817679558011,0.07942541436464089,0.7056077348066297,0.9356132596685083,2.547806629834254,2.5005911602209956,158583.0,-0.01
2009-01-29,0.0,0.0,1,-1.2,-39,6,2.5,12,2.6,4.0,14,1.0,20,1,2009,5,200905,Thursday,330401.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.054988950276243,0.7807127071823204,0.7103977900552486,0.7419447513812155,0.658132596685083,0.4549779005524862,0.3705966850828729,0.2732154696132597,-0.10408287292817679,0.14338121546961324,0.19738121546961326,0.2154585635359116,0.2529779005524862,0.21192265193370166,0.1839060773480663,0.1316132596685083,0.11784530386740331,0.10730386740331492,0.10322651933701657,0.07938121546961326,0.7051160220994475,0.9351988950276242,2.546099447513812,2.498867403314918,158583.0,-0.01
2009-01-30,0.0,0.0,1,0.1,-44,6,5.1,14,4.0,5.0,10,2.0,5,1,2009,5,200905,Friday,325899.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0548453038674033,0.7799779005524862,0.7095690607734806,0.7412265193370166,0.6578563535911602,0.45469060773480663,0.370353591160221,0.2730165745856354,-0.10416022099447514,0.1433370165745856,0.19733701657458563,0.21541988950276242,0.2526906077348066,0.2119171270718232,0.18368508287292817,0.13158563535911602,0.1178342541436464,0.10725414364640884,0.10317127071823204,0.07933701657458564,0.7046243093922652,0.9347845303867403,2.54439226519337,2.4971436464088406,158583.0,-0.01
2009-01-31,0.0,0.0,1,0.1,-26,5,3.2,14,5.8,8.0,12,4.0,1,1,2009,5,200905,Saturday,307975.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0547016574585635,0.779243093922652,0.7087403314917127,0.7405082872928177,0.6575801104972376,0.4544033149171271,0.37011049723756906,0.27281767955801106,-0.10423756906077347,0.143292817679558,0.19729281767955803,0.21538121546961325,0.2524033149171271,0.21191160220994473,0.18346408839779005,0.13155801104972376,0.1178232044198895,0.10720441988950276,0.10311602209944751,0.07929281767955801,0.7041325966850829,0.9343701657458563,2.542685082872928,2.4954198895027635,158583.0,-0.01
2009-02-01,-0.1,-0.1,7,-1.3,-25,5,1.1,1,6.7,9.0,15,4.0,4,2,2009,5,200905,Sunday,308613.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0545580110497237,0.7785082872928177,0.7079116022099448,0.7397900552486187,0.6573038674033149,0.4541160220994475,0.36986740331491713,0.27261878453038674,-0.10431491712707182,0.14324861878453038,0.1972486187845304,0.21534254143646409,0.2521160220994475,0.2119060773480663,0.18324309392265192,0.1315303867403315,0.1178121546961326,0.10715469613259669,0.10306077348066298,0.07924861878453039,0.7036408839779005,0.9339558011049723,2.540977900552486,2.493696132596686,158583.0,0.06
2009-02-02,-0.1,-0.1,4,1.4,-19,2,3.5,18,6.5,7.0,1,5.0,22,2,2009,6,200906,Monday,353845.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.054414364640884,0.7777734806629835,0.7070828729281767,0.7390718232044199,0.6570276243093923,0.453828729281768,0.3696243093922652,0.27241988950276247,-0.10439226519337017,0.14320441988950275,0.19720441988950277,0.21530386740331492,0.25182872928176797,0.21190055248618783,0.1830220994475138,0.13150276243093922,0.11780110497237568,0.10710497237569061,0.10300552486187844,0.07920441988950276,0.7031491712707182,0.9335414364640884,2.539270718232044,2.4919723756906085,158583.0,0.06
2009-02-03,2.4,0.7,19,2.2,3,20,4.0,11,2.6,6.0,1,1.0,17,2,2009,6,200906,Tuesday,333483.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.054270718232044,0.7770386740331492,0.7062541436464088,0.738353591160221,0.6567513812154696,0.4535414364640884,0.3693812154696133,0.27222099447513814,-0.1044696132596685,0.14316022099447512,0.19716022099447514,0.21526519337016575,0.2515414364640884,0.2118950276243094,0.1828011049723757,0.13147513812154696,0.11779005524861878,0.10705524861878453,0.10295027624309391,0.07916022099447514,0.7026574585635359,0.9331270718232043,2.537563535911602,2.4902486187845314,158583.0,0.06
2009-02-04,-0.1,-0.1,1,0.4,0,5,0.8,16,1.4,2.0,1,1.0,3,2,2009,6,200906,Wednesday,333517.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0541270718232043,0.7763038674033149,0.7054254143646409,0.7376353591160221,0.656475138121547,0.45325414364640887,0.36913812154696135,0.2720220994475138,-0.10454696132596684,0.14311602209944752,0.19711602209944754,0.21522651933701656,0.25125414364640886,0.21188950276243093,0.18258011049723757,0.1314475138121547,0.11777900552486187,0.10700552486187845,0.10289502762430938,0.07911602209944751,0.7021657458563536,0.9327127071823204,2.5358563535911602,2.488524861878454,158583.0,0.06
2009-02-05,3.0,1.5,13,3.3,-5,5,6.6,18,3.1,4.0,6,2.0,1,2,2009,6,200906,Thursday,335086.0,2009,1841.0,351.0,1983.0,73747.0,93660.0,93660.0,16131.0,1088.0,2195534.0,360.0,13543.0,2588.0,162.0,926.0,"16,49",118.5560204,376.7608792,119.7109995,887.1527122,952.3434617,48.03501824,2524.642987,131.5692019,409.2840044,-38.01959811,55.62719807,131.3128818,0,25.49880105,0,82.33919978,17.60759996,376.7608792,6.040798776,1.0539834254143645,0.7755690607734806,0.7045966850828729,0.7369171270718232,0.6561988950276243,0.4529668508287293,0.36889502762430937,0.2718232044198895,-0.10462430939226519,0.14307182320441988,0.1970718232044199,0.2151878453038674,0.25096685082872927,0.21188397790055247,0.18235911602209945,0.13141988950276243,0.11776795580110497,0.10695580110497238,0.10283977900552485,0.0790718232044199,0.7016740331491712,0.9322983425414364,2.5341491712707183,2.486801104972377,158583.0,0.06
